event_type,id,agent_id,phone_number,start_time,end_time,disposition
ENDED,26,3,(613) 1503-1415,2016-03-18 21:12,2016-03-18 21:13,NEW_ORDER
ENDED,28,28,(343) 4726-3924,2016-03-18 21:13,2016-03-18 21:13,COMPLAINT
ENDED,25,17,(343) 6665-5578,2016-03-18 21:12,2016-03-18 21:13,REFUND
STARTED,29,5,(437) 5435-5461,2016-03-18 21:13,,
ENDED,24,10,(365) 4054-7841,2016-03-18 21:12,2016-03-18 21:13,TECH_SUPPORT
ENDED,27,15,(807) 2782-9099,2016-03-18 21:12,2016-03-18 21:13,SILENCE
STARTED,30,22,(289) 1109-5731,2016-03-18 21:13,,
ENDED,18,30,(613) 8188-9389,2016-03-18 21:12,2016-03-18 21:13,NEW_ORDER
ENDED,23,21,(647) 2411-5979,2016-03-18 21:12,2016-03-18 21:13,TECH_SUPPORT
ENDED,17,35,(343) 8067-7563,2016-03-18 21:12,2016-03-18 21:13,REFUND
STARTED,31,39,(226) 6064-1217,2016-03-18 21:13,,
ENDED,30,22,(289) 1109-5731,2016-03-18 21:13,2016-03-18 21:13,INCORRECT_NUMBER
ENDED,31,39,(226) 6064-1217,2016-03-18 21:13,2016-03-18 21:13,CANCELLATION
ENDED,29,5,(437) 5435-5461,2016-03-18 21:13,2016-03-18 21:13,COMPLAINT
STARTED,32,12,(905) 6464-0650,2016-03-18 21:13,,
ENDED,32,12,(905) 6464-0650,2016-03-18 21:13,2016-03-18 21:13,PRODUCT_QUESTION
STARTED,33,21,(807) 1078-1058,2016-03-18 21:13,,
ENDED,33,21,(807) 1078-1058,2016-03-18 21:13,2016-03-18 21:13,DROPPED_WHILE_TALKING
STARTED,34,39,(226) 7288-6194,2016-03-18 21:13,,
STARTED,35,16,(647) 4451-5906,2016-03-18 21:13,,
ENDED,35,16,(647) 4451-5906,2016-03-18 21:13,2016-03-18 21:13,PRODUCT_QUESTION
STARTED,36,34,(249) 9249-2166,2016-03-18 21:13,,
STARTED,37,12,(613) 3859-3186,2016-03-18 21:13,,
STARTED,38,3,(249) 245-8292,2016-03-18 21:13,,
STARTED,39,14,(289) 4481-3909,2016-03-18 21:13,,
STARTED,40,37,(343) 9867-0815,2016-03-18 21:13,,
ENDED,34,39,(226) 7288-6194,2016-03-18 21:13,2016-03-18 21:13,PRODUCT_QUESTION
STARTED,41,30,(807) 7080-6644,2016-03-18 21:13,,
STARTED,42,22,(519) 5753-4780,2016-03-18 21:14,,
STARTED,43,13,(705) 4273-4519,2016-03-18 21:14,,
STARTED,44,31,(416) 1711-9093,2016-03-18 21:14,,
ENDED,38,3,(249) 245-8292,2016-03-18 21:13,2016-03-18 21:14,TECH_SUPPORT
STARTED,45,17,(365) 4862-2175,2016-03-18 21:14,,
STARTED,46,29,(807) 6863-9039,2016-03-18 21:14,,
STARTED,47,3,(416) 2196-7516,2016-03-18 21:14,,
STARTED,48,7,(226) 7457-6333,2016-03-18 21:14,,
STARTED,49,26,(249) 3930-8544,2016-03-18 21:14,,
STARTED,50,5,(437) 5499-5379,2016-03-18 21:14,,
STARTED,51,16,(705) 5053-3495,2016-03-18 21:14,,
STARTED,52,4,(365) 7639-3551,2016-03-18 21:14,,
ENDED,49,26,(249) 3930-8544,2016-03-18 21:14,2016-03-18 21:14,NEW_ORDER
STARTED,53,36,(249) 5518-5631,2016-03-18 21:14,,
ENDED,36,34,(249) 9249-2166,2016-03-18 21:13,2016-03-18 21:14,REQUIRES_SUPERVISOR_ATTENTION
STARTED,54,26,(343) 6775-3451,2016-03-18 21:14,,
STARTED,55,8,(647) 1074-4283,2016-03-18 21:14,,
STARTED,56,24,(437) 3277-6764,2016-03-18 21:14,,
STARTED,57,6,(249) 7328-8496,2016-03-18 21:14,,
ENDED,57,6,(249) 7328-8496,2016-03-18 21:14,2016-03-18 21:14,BILLING_QUESTION
ENDED,42,22,(519) 5753-4780,2016-03-18 21:14,2016-03-18 21:14,INCORRECT_NUMBER
STARTED,58,10,(226) 3040-1045,2016-03-18 21:14,,
STARTED,59,18,(705) 7410-4038,2016-03-18 21:14,,
STARTED,60,40,(226) 6723-8132,2016-03-18 21:14,,
ENDED,60,40,(226) 6723-8132,2016-03-18 21:14,2016-03-18 21:14,REQUIRES_SUPERVISOR_ATTENTION
STARTED,61,33,(343) 9150-2970,2016-03-18 21:14,,
STARTED,62,34,(807) 4118-6910,2016-03-18 21:14,,
STARTED,63,6,(613) 9740-9899,2016-03-18 21:14,,
STARTED,64,40,(647) 1469-5493,2016-03-18 21:14,,
STARTED,65,19,(343) 7420-2664,2016-03-18 21:14,,
STARTED,66,35,(905) 8681-3780,2016-03-18 21:15,,
STARTED,67,1,(416) 2520-2657,2016-03-18 21:15,,
STARTED,68,23,(249) 8732-7221,2016-03-18 21:15,,
ENDED,50,5,(437) 5499-5379,2016-03-18 21:14,2016-03-18 21:15,COMPLAINT
STARTED,69,27,(289) 2367-6674,2016-03-18 21:15,,
STARTED,70,25,(416) 3718-0701,2016-03-18 21:15,,
ENDED,51,16,(705) 5053-3495,2016-03-18 21:14,2016-03-18 21:15,WARM_TRANSFER
STARTED,71,2,(365) 824-8455,2016-03-18 21:15,,
STARTED,72,38,(249) 8477-6558,2016-03-18 21:15,,
STARTED,73,28,(705) 4930-3471,2016-03-18 21:15,,
ENDED,37,12,(613) 3859-3186,2016-03-18 21:13,2016-03-18 21:15,NEW_ORDER
STARTED,74,9,(289) 8249-2546,2016-03-18 21:15,,
STARTED,75,15,(289) 5155-3427,2016-03-18 21:15,,
STARTED,76,21,(647) 9873-0948,2016-03-18 21:15,,
STARTED,77,32,(289) 533-3369,2016-03-18 21:15,,
STARTED,78,22,(705) 1411-5442,2016-03-18 21:15,,
ENDED,66,35,(905) 8681-3780,2016-03-18 21:15,2016-03-18 21:15,REQUIRES_SUPERVISOR_ATTENTION
STARTED,79,35,(289) 8764-6462,2016-03-18 21:15,,
STARTED,80,20,(807) 8798-5975,2016-03-18 21:15,,
ENDED,46,29,(807) 6863-9039,2016-03-18 21:14,2016-03-18 21:15,REFUND
ENDED,47,3,(416) 2196-7516,2016-03-18 21:14,2016-03-18 21:15,CANCELLATION
STARTED,81,29,(249) 6749-2743,2016-03-18 21:15,,
STARTED,82,12,(289) 517-8265,2016-03-18 21:15,,
STARTED,83,11,(905) 983-4754,2016-03-18 21:15,,
ENDED,55,8,(647) 1074-4283,2016-03-18 21:14,2016-03-18 21:15,SILENCE
ENDED,48,7,(226) 7457-6333,2016-03-18 21:14,2016-03-18 21:15,COMPLAINT
STARTED,84,7,(416) 9544-1804,2016-03-18 21:15,,
STARTED,85,39,(705) 1308-1753,2016-03-18 21:15,,
ENDED,61,33,(343) 9150-2970,2016-03-18 21:14,2016-03-18 21:15,REFUND
STARTED,86,3,(416) 961-7004,2016-03-18 21:15,,
STARTED,87,5,(519) 5758-4699,2016-03-18 21:16,,
ENDED,67,1,(416) 2520-2657,2016-03-18 21:15,2016-03-18 21:16,REFUND
ENDED,40,37,(343) 9867-0815,2016-03-18 21:13,2016-03-18 21:16,PRODUCT_QUESTION
STARTED,88,8,(226) 8991-6097,2016-03-18 21:16,,
ENDED,39,14,(289) 4481-3909,2016-03-18 21:13,2016-03-18 21:16,REFUND
ENDED,80,20,(807) 8798-5975,2016-03-18 21:15,2016-03-18 21:16,NEW_ORDER
ENDED,87,5,(519) 5758-4699,2016-03-18 21:16,2016-03-18 21:16,WARM_TRANSFER
ENDED,45,17,(365) 4862-2175,2016-03-18 21:14,2016-03-18 21:16,BILLING_QUESTION
STARTED,89,16,(807) 4388-3500,2016-03-18 21:16,,
ENDED,78,22,(705) 1411-5442,2016-03-18 21:15,2016-03-18 21:16,REFUND
ENDED,56,24,(437) 3277-6764,2016-03-18 21:14,2016-03-18 21:16,CANCELLATION
ENDED,81,29,(249) 6749-2743,2016-03-18 21:15,2016-03-18 21:16,SILENCE
STARTED,90,29,(905) 1802-0496,2016-03-18 21:16,,
STARTED,91,33,(226) 1792-0807,2016-03-18 21:16,,
STARTED,92,20,(613) 7199-1139,2016-03-18 21:16,,
ENDED,52,4,(365) 7639-3551,2016-03-18 21:14,2016-03-18 21:16,WARM_TRANSFER
STARTED,93,24,(647) 4143-6725,2016-03-18 21:16,,
ENDED,65,19,(343) 7420-2664,2016-03-18 21:14,2016-03-18 21:16,PRODUCT_QUESTION
STARTED,94,37,(289) 1941-4415,2016-03-18 21:16,,
STARTED,95,1,(647) 277-0063,2016-03-18 21:16,,
STARTED,96,4,(905) 1775-8384,2016-03-18 21:16,,
ENDED,70,25,(416) 3718-0701,2016-03-18 21:15,2016-03-18 21:16,REQUIRES_SUPERVISOR_ATTENTION
STARTED,97,5,(416) 5076-1412,2016-03-18 21:16,,
ENDED,75,15,(289) 5155-3427,2016-03-18 21:15,2016-03-18 21:16,SILENCE
STARTED,98,22,(613) 4774-6566,2016-03-18 21:16,,
STARTED,99,14,(289) 7205-9833,2016-03-18 21:16,,
STARTED,100,17,(807) 6633-7999,2016-03-18 21:16,,
ENDED,92,20,(613) 7199-1139,2016-03-18 21:16,2016-03-18 21:16,PRODUCT_QUESTION
STARTED,101,20,(705) 5911-4490,2016-03-18 21:16,,
STARTED,102,19,(437) 3613-1163,2016-03-18 21:16,,
STARTED,103,25,(807) 2502-4069,2016-03-18 21:17,,
ENDED,97,5,(416) 5076-1412,2016-03-18 21:16,2016-03-18 21:17,REQUIRES_SUPERVISOR_ATTENTION
STARTED,104,5,(249) 6703-9731,2016-03-18 21:17,,
STARTED,105,15,(289) 2269-4570,2016-03-18 21:17,,
ENDED,85,39,(705) 1308-1753,2016-03-18 21:15,2016-03-18 21:17,BILLING_QUESTION
ENDED,99,14,(289) 7205-9833,2016-03-18 21:16,2016-03-18 21:17,REFUND
STARTED,106,14,(807) 9346-5944,2016-03-18 21:17,,
STARTED,107,39,(705) 1478-4236,2016-03-18 21:17,,
ENDED,84,7,(416) 9544-1804,2016-03-18 21:15,2016-03-18 21:17,NEW_ORDER
STARTED,108,7,(807) 4918-5601,2016-03-18 21:17,,
ENDED,89,16,(807) 4388-3500,2016-03-18 21:16,2016-03-18 21:17,SILENCE
ENDED,98,22,(613) 4774-6566,2016-03-18 21:16,2016-03-18 21:17,WARM_TRANSFER
STARTED,109,22,(519) 1756-2245,2016-03-18 21:17,,
STARTED,110,16,(437) 825-7374,2016-03-18 21:17,,
ENDED,103,25,(807) 2502-4069,2016-03-18 21:17,2016-03-18 21:17,NEW_ORDER
ENDED,73,28,(705) 4930-3471,2016-03-18 21:15,2016-03-18 21:17,REQUIRES_SUPERVISOR_ATTENTION
ENDED,74,9,(289) 8249-2546,2016-03-18 21:15,2016-03-18 21:17,DROPPED_WHILE_TALKING
STARTED,111,28,(705) 4309-4467,2016-03-18 21:17,,
STARTED,112,9,(519) 9235-1021,2016-03-18 21:17,,
STARTED,113,25,(647) 6365-8741,2016-03-18 21:17,,
ENDED,96,4,(905) 1775-8384,2016-03-18 21:16,2016-03-18 21:17,WARM_TRANSFER
ENDED,71,2,(365) 824-8455,2016-03-18 21:15,2016-03-18 21:17,REQUIRES_SUPERVISOR_ATTENTION
STARTED,114,4,(705) 2971-6236,2016-03-18 21:17,,
ENDED,44,31,(416) 1711-9093,2016-03-18 21:14,2016-03-18 21:17,CANCELLATION
STARTED,115,31,(613) 6237-2268,2016-03-18 21:17,,
ENDED,91,33,(226) 1792-0807,2016-03-18 21:16,2016-03-18 21:17,REFUND
STARTED,116,2,(343) 611-8849,2016-03-18 21:17,,
ENDED,83,11,(905) 983-4754,2016-03-18 21:15,2016-03-18 21:17,CANCELLATION
STARTED,117,33,(289) 5495-3667,2016-03-18 21:17,,
STARTED,118,11,(226) 6876-2572,2016-03-18 21:17,,
ENDED,58,10,(226) 3040-1045,2016-03-18 21:14,2016-03-18 21:18,REQUIRES_SUPERVISOR_ATTENTION
STARTED,119,10,(705) 5819-1954,2016-03-18 21:18,,
ENDED,90,29,(905) 1802-0496,2016-03-18 21:16,2016-03-18 21:18,COMPLAINT
ENDED,115,31,(613) 6237-2268,2016-03-18 21:17,2016-03-18 21:18,SILENCE
STARTED,120,29,(226) 4424-9317,2016-03-18 21:18,,
ENDED,93,24,(647) 4143-6725,2016-03-18 21:16,2016-03-18 21:18,INCORRECT_NUMBER
STARTED,121,31,(365) 1496-2757,2016-03-18 21:18,,
ENDED,100,17,(807) 6633-7999,2016-03-18 21:16,2016-03-18 21:18,NEW_ORDER
STARTED,122,24,(807) 5492-1727,2016-03-18 21:18,,
STARTED,123,17,(289) 9912-6232,2016-03-18 21:18,,
ENDED,108,7,(807) 4918-5601,2016-03-18 21:17,2016-03-18 21:18,DROPPED_WHILE_TALKING
ENDED,105,15,(289) 2269-4570,2016-03-18 21:17,2016-03-18 21:18,PRODUCT_QUESTION
STARTED,124,7,(807) 6932-7062,2016-03-18 21:18,,
STARTED,125,15,(905) 5987-1501,2016-03-18 21:18,,
ENDED,94,37,(289) 1941-4415,2016-03-18 21:16,2016-03-18 21:18,NEW_ORDER
ENDED,64,40,(647) 1469-5493,2016-03-18 21:14,2016-03-18 21:18,INCORRECT_NUMBER
STARTED,126,40,(705) 3059-9471,2016-03-18 21:18,,
ENDED,119,10,(705) 5819-1954,2016-03-18 21:18,2016-03-18 21:18,PRODUCT_QUESTION
STARTED,127,37,(705) 9442-3568,2016-03-18 21:18,,
STARTED,128,10,(289) 6007-9578,2016-03-18 21:18,,
ENDED,110,16,(437) 825-7374,2016-03-18 21:17,2016-03-18 21:18,WARM_TRANSFER
STARTED,129,16,(289) 4156-0322,2016-03-18 21:18,,
ENDED,77,32,(289) 533-3369,2016-03-18 21:15,2016-03-18 21:18,INCORRECT_NUMBER
STARTED,130,32,(437) 8260-6874,2016-03-18 21:18,,
ENDED,116,2,(343) 611-8849,2016-03-18 21:17,2016-03-18 21:18,CANCELLATION
ENDED,121,31,(365) 1496-2757,2016-03-18 21:18,2016-03-18 21:18,DROPPED_WHILE_TALKING
STARTED,131,31,(905) 2044-5807,2016-03-18 21:18,,
STARTED,132,2,(365) 214-1483,2016-03-18 21:18,,
ENDED,69,27,(289) 2367-6674,2016-03-18 21:15,2016-03-18 21:18,INCORRECT_NUMBER
STARTED,133,27,(519) 5601-7533,2016-03-18 21:18,,
ENDED,79,35,(289) 8764-6462,2016-03-18 21:15,2016-03-18 21:19,COMPLAINT
STARTED,134,35,(647) 5381-0127,2016-03-18 21:19,,
ENDED,63,6,(613) 9740-9899,2016-03-18 21:14,2016-03-18 21:19,CANCELLATION
ENDED,122,24,(807) 5492-1727,2016-03-18 21:18,2016-03-18 21:19,DROPPED_WHILE_TALKING
ENDED,118,11,(226) 6876-2572,2016-03-18 21:17,2016-03-18 21:19,DROPPED_WHILE_TALKING
ENDED,134,35,(647) 5381-0127,2016-03-18 21:19,2016-03-18 21:19,INCORRECT_NUMBER
STARTED,135,24,(705) 800-9495,2016-03-18 21:19,,
ENDED,107,39,(705) 1478-4236,2016-03-18 21:17,2016-03-18 21:19,CANCELLATION
STARTED,136,39,(807) 8393-5765,2016-03-18 21:19,,
STARTED,137,35,(289) 7067-1491,2016-03-18 21:19,,
ENDED,95,1,(647) 277-0063,2016-03-18 21:16,2016-03-18 21:19,NEW_ORDER
ENDED,62,34,(807) 4118-6910,2016-03-18 21:14,2016-03-18 21:19,SILENCE
STARTED,138,34,(647) 1888-2541,2016-03-18 21:19,,
ENDED,126,40,(705) 3059-9471,2016-03-18 21:18,2016-03-18 21:19,NEW_ORDER
ENDED,41,30,(807) 7080-6644,2016-03-18 21:13,2016-03-18 21:19,TECH_SUPPORT
STARTED,139,6,(226) 4825-4131,2016-03-18 21:19,,
STARTED,140,40,(365) 3444-2980,2016-03-18 21:19,,
STARTED,141,11,(519) 3388-1136,2016-03-18 21:19,,
STARTED,142,30,(343) 2602-6439,2016-03-18 21:19,,
ENDED,124,7,(807) 6932-7062,2016-03-18 21:18,2016-03-18 21:19,INCORRECT_NUMBER
STARTED,143,7,(905) 5475-5710,2016-03-18 21:19,,
ENDED,140,40,(365) 3444-2980,2016-03-18 21:19,2016-03-18 21:19,CANCELLATION
STARTED,144,40,(705) 2742-3421,2016-03-18 21:19,,
ENDED,54,26,(343) 6775-3451,2016-03-18 21:14,2016-03-18 21:19,NEW_ORDER
STARTED,145,1,(519) 2135-7924,2016-03-18 21:19,,
ENDED,123,17,(289) 9912-6232,2016-03-18 21:18,2016-03-18 21:19,WARM_TRANSFER
ENDED,82,12,(289) 517-8265,2016-03-18 21:15,2016-03-18 21:19,SILENCE
STARTED,146,12,(226) 3814-1852,2016-03-18 21:19,,
STARTED,147,26,(365) 5598-8360,2016-03-18 21:19,,
STARTED,148,17,(613) 2092-9725,2016-03-18 21:19,,
ENDED,76,21,(647) 9873-0948,2016-03-18 21:15,2016-03-18 21:20,REQUIRES_SUPERVISOR_ATTENTION
ENDED,88,8,(226) 8991-6097,2016-03-18 21:16,2016-03-18 21:20,INCORRECT_NUMBER
ENDED,43,13,(705) 4273-4519,2016-03-18 21:14,2016-03-18 21:20,INCORRECT_NUMBER
STARTED,149,13,(416) 9996-9760,2016-03-18 21:20,,
STARTED,150,21,(905) 9000-3700,2016-03-18 21:20,,
STARTED,151,8,(343) 1177-2295,2016-03-18 21:20,,
ENDED,132,2,(365) 214-1483,2016-03-18 21:18,2016-03-18 21:20,REQUIRES_SUPERVISOR_ATTENTION
ENDED,131,31,(905) 2044-5807,2016-03-18 21:18,2016-03-18 21:20,NEW_ORDER
STARTED,152,31,(437) 7411-6498,2016-03-18 21:20,,
STARTED,153,2,(807) 4161-6039,2016-03-18 21:20,,
ENDED,106,14,(807) 9346-5944,2016-03-18 21:17,2016-03-18 21:20,CANCELLATION
STARTED,154,14,(613) 2517-4147,2016-03-18 21:20,,
ENDED,86,3,(416) 961-7004,2016-03-18 21:15,2016-03-18 21:20,DROPPED_WHILE_TALKING
ENDED,117,33,(289) 5495-3667,2016-03-18 21:17,2016-03-18 21:20,NEW_ORDER
ENDED,153,2,(807) 4161-6039,2016-03-18 21:20,2016-03-18 21:20,SILENCE
ENDED,145,1,(519) 2135-7924,2016-03-18 21:19,2016-03-18 21:20,WARM_TRANSFER
STARTED,155,3,(437) 4508-1146,2016-03-18 21:20,,
ENDED,68,23,(249) 8732-7221,2016-03-18 21:15,2016-03-18 21:20,INCORRECT_NUMBER
ENDED,104,5,(249) 6703-9731,2016-03-18 21:17,2016-03-18 21:20,DROPPED_WHILE_TALKING
ENDED,111,28,(705) 4309-4467,2016-03-18 21:17,2016-03-18 21:20,WARM_TRANSFER
ENDED,139,6,(226) 4825-4131,2016-03-18 21:19,2016-03-18 21:20,SILENCE
ENDED,53,36,(249) 5518-5631,2016-03-18 21:14,2016-03-18 21:20,REFUND
STARTED,156,5,(519) 2067-7986,2016-03-18 21:20,,
STARTED,157,23,(613) 6280-2275,2016-03-18 21:20,,
ENDED,138,34,(647) 1888-2541,2016-03-18 21:19,2016-03-18 21:20,SILENCE
STARTED,158,6,(519) 7159-3563,2016-03-18 21:20,,
STARTED,159,33,(343) 5159-8519,2016-03-18 21:20,,
ENDED,120,29,(226) 4424-9317,2016-03-18 21:18,2016-03-18 21:20,SILENCE
ENDED,150,21,(905) 9000-3700,2016-03-18 21:20,2016-03-18 21:20,DROPPED_WHILE_TALKING
STARTED,160,1,(519) 3008-7031,2016-03-18 21:20,,
ENDED,136,39,(807) 8393-5765,2016-03-18 21:19,2016-03-18 21:21,DROPPED_WHILE_TALKING
ENDED,133,27,(519) 5601-7533,2016-03-18 21:18,2016-03-18 21:21,PRODUCT_QUESTION
ENDED,154,14,(613) 2517-4147,2016-03-18 21:20,2016-03-18 21:21,PRODUCT_QUESTION
STARTED,161,14,(807) 6607-2773,2016-03-18 21:21,,
STARTED,162,21,(226) 5966-1096,2016-03-18 21:21,,
STARTED,163,27,(647) 3818-9666,2016-03-18 21:21,,
STARTED,164,34,(365) 4116-4687,2016-03-18 21:21,,
STARTED,165,2,(807) 374-9097,2016-03-18 21:21,,
ENDED,162,21,(226) 5966-1096,2016-03-18 21:21,2016-03-18 21:21,PRODUCT_QUESTION
STARTED,166,39,(807) 3478-4637,2016-03-18 21:21,,
STARTED,167,36,(416) 7812-8989,2016-03-18 21:21,,
STARTED,168,28,(249) 8573-3280,2016-03-18 21:21,,
STARTED,169,29,(226) 5192-1374,2016-03-18 21:21,,
ENDED,112,9,(519) 9235-1021,2016-03-18 21:17,2016-03-18 21:21,TECH_SUPPORT
ENDED,59,18,(705) 7410-4038,2016-03-18 21:14,2016-03-18 21:21,COMPLAINT
STARTED,170,9,(365) 1309-7057,2016-03-18 21:21,,
STARTED,171,21,(807) 426-0652,2016-03-18 21:21,,
ENDED,163,27,(647) 3818-9666,2016-03-18 21:21,2016-03-18 21:21,CANCELLATION
STARTED,172,18,(416) 1376-9725,2016-03-18 21:21,,
ENDED,160,1,(519) 3008-7031,2016-03-18 21:20,2016-03-18 21:21,WARM_TRANSFER
STARTED,173,27,(807) 7256-9627,2016-03-18 21:21,,
ENDED,144,40,(705) 2742-3421,2016-03-18 21:19,2016-03-18 21:21,NEW_ORDER
STARTED,174,40,(249) 8927-5093,2016-03-18 21:21,,
STARTED,175,1,(705) 9230-6078,2016-03-18 21:21,,
ENDED,167,36,(416) 7812-8989,2016-03-18 21:21,2016-03-18 21:21,WARM_TRANSFER
ENDED,109,22,(519) 1756-2245,2016-03-18 21:17,2016-03-18 21:21,INCORRECT_NUMBER
STARTED,176,22,(365) 4281-7162,2016-03-18 21:21,,
STARTED,177,36,(905) 7928-3081,2016-03-18 21:21,,
ENDED,175,1,(705) 9230-6078,2016-03-18 21:21,2016-03-18 21:21,INCORRECT_NUMBER
STARTED,178,1,(416) 1495-2065,2016-03-18 21:21,,
ENDED,135,24,(705) 800-9495,2016-03-18 21:19,2016-03-18 21:22,WARM_TRANSFER
ENDED,147,26,(365) 5598-8360,2016-03-18 21:19,2016-03-18 21:22,PRODUCT_QUESTION
ENDED,164,34,(365) 4116-4687,2016-03-18 21:21,2016-03-18 21:22,WARM_TRANSFER
STARTED,179,34,(289) 5501-7965,2016-03-18 21:22,,
ENDED,129,16,(289) 4156-0322,2016-03-18 21:18,2016-03-18 21:22,SILENCE
ENDED,137,35,(289) 7067-1491,2016-03-18 21:19,2016-03-18 21:22,NEW_ORDER
STARTED,180,16,(647) 5590-5658,2016-03-18 21:22,,
STARTED,181,24,(647) 1794-0804,2016-03-18 21:22,,
STARTED,182,26,(249) 4230-7639,2016-03-18 21:22,,
STARTED,183,35,(705) 4085-0143,2016-03-18 21:22,,
ENDED,173,27,(807) 7256-9627,2016-03-18 21:21,2016-03-18 21:22,TECH_SUPPORT
ENDED,113,25,(647) 6365-8741,2016-03-18 21:17,2016-03-18 21:22,REQUIRES_SUPERVISOR_ATTENTION
STARTED,184,25,(705) 3852-7943,2016-03-18 21:22,,
STARTED,185,27,(365) 1030-4044,2016-03-18 21:22,,
ENDED,178,1,(416) 1495-2065,2016-03-18 21:21,2016-03-18 21:22,NEW_ORDER
STARTED,186,1,(343) 7674-6352,2016-03-18 21:22,,
ENDED,72,38,(249) 8477-6558,2016-03-18 21:15,2016-03-18 21:22,NEW_ORDER
ENDED,181,24,(647) 1794-0804,2016-03-18 21:22,2016-03-18 21:22,PRODUCT_QUESTION
STARTED,187,38,(905) 4820-8481,2016-03-18 21:22,,
STARTED,188,24,(705) 6357-5458,2016-03-18 21:22,,
ENDED,149,13,(416) 9996-9760,2016-03-18 21:20,2016-03-18 21:22,REQUIRES_SUPERVISOR_ATTENTION
ENDED,170,9,(365) 1309-7057,2016-03-18 21:21,2016-03-18 21:22,NEW_ORDER
STARTED,189,13,(249) 2396-9053,2016-03-18 21:22,,
STARTED,190,9,(437) 2382-9811,2016-03-18 21:22,,
